"model","scenario","agent","round","reward","outcome","effort","strength","prob"
"joint","F,F;F,F","A",1,10,0,0,4.06706101188836,NA
"joint","F,F;F,F","A",2,20,0,0,3.00055184942816,0
"joint","F,F;F,F","A",3,20,0,0,1.9321070473037,69.1004324026989
"joint","F,F;F,F","B",1,10,0,0,4.03038434599078,NA
"joint","F,F;F,F","B",2,20,0,0,2.99593392972387,0
"joint","F,F;F,F","B",3,20,0,0,1.93805087552919,69.1004324026989
"joint","F,F;F,L","A",1,10,0,0,4.06706101188836,NA
"joint","F,F;F,L","A",2,20,0,0,3.00715264303159,0
"joint","F,F;F,L","A",3,20,0,NA,NA,93.8661590775745
"joint","F,F;F,L","B",1,10,0,0,4.03038434599078,NA
"joint","F,F;F,L","B",3,20,0,NA,NA,93.8661590775745
"joint","F,F;F,L","B",2,20,1,100,6.06199045719956,0
"joint","F,L;F,L","A",1,10,0,0,4.07154881270243,NA
"joint","F,L;F,L","A",2,20,0,0,2.97670081769609,0
"joint","F,L;F,L","A",3,20,1,38.5,3.00635009143798,96.0711579147397
"joint","F,L;F,L","B",1,10,1,70,8.5777544307602,NA
"joint","F,L;F,L","B",2,20,1,70,8.56653126669452,100
"joint","F,L;F,L","B",3,20,1,58.5,8.57486954939838,96.0711579147397
"joint","F,F;L,L","A",1,10,0,0,4.06706101188836,NA
"joint","F,F;L,L","A",2,20,1,100,6.07813897851966,0
"joint","F,F;L,L","A",3,20,1,50,6.0623426945834,100
"joint","F,F;L,L","B",1,10,0,0,4.03038434599078,NA
"joint","F,F;L,L","B",2,20,1,100,6.07203820420123,0
"joint","F,F;L,L","B",3,20,1,50,6.06382170649592,100
"joint","F,L;L,L","A",1,10,0,0,4.07154881270243,NA
"joint","F,L;L,L","A",2,20,1,100,6.07300187640008,0
"joint","F,L;L,L","A",3,20,1,40,6.07226932015211,98.8984850932914
"joint","F,L;L,L","B",1,10,1,70,8.5777544307602,NA
"joint","F,L;L,L","B",2,20,1,70,8.56911660015753,100
"joint","F,L;L,L","B",3,20,1,40,8.57668160722954,98.8984850932914
"joint","L,L;L,L","A",1,10,1,70,8.57243663527543,NA
"joint","L,L;L,L","A",2,20,1,70,8.58745082993521,100
"joint","L,L;L,L","A",3,20,1,35,8.55829690014765,100
