"model","strong_strength","weak_strength","strong_incentive","weak_incentive","incentive"
"joint",9.5,9.5,65,65,35
"joint",9.5,6.5,65,95,39
"joint",9.5,5,65,125,44
"joint",8,8,75,75,38
"joint",8,6.5,75,95,44
"joint",8,5,75,125,48
"joint",7.5,7.5,85,85,44
"joint",7.5,6,85,105,48
"joint",7.5,5,85,125,51
"joint",6.5,6.5,95,95,51
"joint",6.5,5.5,95,115,54
"joint",6.5,5,95,125,57
"joint",6,6,105,105,54
"joint",6,5.5,105,115,57
"joint",6,5,105,125,60
"solitary",9.5,9.5,65,65,75
"solitary",9.5,6.5,65,95,75
"solitary",9.5,5,65,125,75
"solitary",8,8,75,75,82
"solitary",8,6.5,75,95,82
"solitary",8,5,75,125,82
"solitary",7.5,7.5,85,85,94
"solitary",7.5,6,85,105,94
"solitary",7.5,5,85,125,94
"solitary",6.5,6.5,95,95,107
"solitary",6.5,5.5,95,115,107
"solitary",6.5,5,95,125,107
"solitary",6,6,105,105,113
"solitary",6,5.5,105,115,113
"solitary",6,5,105,125,113
"compensatory",9.5,9.5,65,65,0
"compensatory",9.5,6.5,65,95,0
"compensatory",9.5,5,65,125,0
"compensatory",8,8,75,75,0
"compensatory",8,6.5,75,95,0
"compensatory",8,5,75,125,0
"compensatory",7.5,7.5,85,85,0
"compensatory",7.5,6,85,105,0
"compensatory",7.5,5,85,125,0
"compensatory",6.5,6.5,95,95,0
"compensatory",6.5,5.5,95,115,0
"compensatory",6.5,5,95,125,0
"compensatory",6,6,105,105,0
"compensatory",6,5.5,105,115,0
"compensatory",6,5,105,125,0
"maximum",9.5,9.5,65,65,0
"maximum",9.5,6.5,65,95,0
"maximum",9.5,5,65,125,0
"maximum",8,8,75,75,0
"maximum",8,6.5,75,95,0
"maximum",8,5,75,125,0
"maximum",7.5,7.5,85,85,0
"maximum",7.5,6,85,105,0
"maximum",7.5,5,85,125,0
"maximum",6.5,6.5,95,95,0
"maximum",6.5,5.5,95,115,0
"maximum",6.5,5,95,125,0
"maximum",6,6,105,105,0
"maximum",6,5.5,105,115,0
"maximum",6,5,105,125,0
