"model","contest","scenario","round","agent","outcome","reward","effort","strength","prob"
"compensatory",1,"F,F;F,F",1,"A",0,10,0,4.06978497326473,NA
"compensatory",1,"F,F;F,F",1,"B",0,10,0,4.07300330342968,NA
"compensatory",1,"F,F;F,F",2,"A",0,20,0,2.98458740230745,0
"compensatory",1,"F,F;F,F",2,"B",0,20,0,3.00547107608067,0
"compensatory",1,"F,F;F,F",3,"A",0,20,90.5,3.03544786293195,65.8417918477723
"compensatory",1,"F,F;F,F",3,"B",0,20,89.5,3.02106155401868,65.8417918477723
"compensatory",2,"F,F;F,L",1,"A",0,10,0,4.06978497326473,NA
"compensatory",2,"F,F;F,L",1,"B",0,10,0,4.07300330342968,NA
"compensatory",2,"F,F;F,L",2,"A",0,20,0,2.97621164414018,0
"compensatory",2,"F,F;F,L",2,"B",1,20,100,6.08263000206305,0
"compensatory",2,"F,F;F,L",3,"A",0,20,0,2.99990730286621,0
"compensatory",2,"F,F;F,L",3,"B",0,20,70,6.07221770672683,0
"compensatory",3,"F,L;F,L",1,"A",0,10,0,4.09963513725439,NA
"compensatory",3,"F,L;F,L",1,"B",1,10,70,8.56623254276617,NA
"compensatory",3,"F,L;F,L",2,"A",0,20,0,2.99735257771522,0
"compensatory",3,"F,L;F,L",2,"B",1,20,70,8.56832897633759,100
"compensatory",3,"F,L;F,L",3,"A",1,20,NA,NA,0
"compensatory",3,"F,L;F,L",3,"B",1,20,NA,NA,0
"compensatory",4,"F,F;L,L",1,"A",0,10,0,4.06978497326473,NA
"compensatory",4,"F,F;L,L",1,"B",0,10,0,4.07300330342968,NA
"compensatory",4,"F,F;L,L",2,"A",1,20,100,6.0682248266236,0
"compensatory",4,"F,F;L,L",2,"B",1,20,100,6.07088698882176,0
"compensatory",4,"F,F;L,L",3,"A",1,20,NA,NA,0
"compensatory",4,"F,F;L,L",3,"B",1,20,NA,NA,0
"compensatory",5,"F,L;L,L",1,"A",0,10,0,4.09963513725439,NA
"compensatory",5,"F,L;L,L",1,"B",1,10,70,8.56623254276617,NA
"compensatory",5,"F,L;L,L",2,"A",1,20,100,6.07077982448963,0
"compensatory",5,"F,L;L,L",2,"B",1,20,70,8.55673085232421,100
"compensatory",5,"F,L;L,L",3,"A",1,20,NA,NA,0
"compensatory",5,"F,L;L,L",3,"B",1,20,NA,NA,0
"compensatory",6,"L,L;L,L",1,"A",1,10,70,8.56522515397449,NA
"compensatory",6,"L,L;L,L",1,"B",1,10,70,8.5769374510459,NA
"compensatory",6,"L,L;L,L",2,"A",1,20,70,8.56123874783462,100
"compensatory",6,"L,L;L,L",2,"B",1,20,70,8.56876312433855,100
"compensatory",6,"L,L;L,L",3,"A",1,20,NA,NA,0
"compensatory",6,"L,L;L,L",3,"B",1,20,NA,NA,0
"joint",1,"F,F;F,F",1,"A",0,10,0,4.07163596092315,NA
"joint",1,"F,F;F,F",1,"B",0,10,0,4.08215889127727,NA
"joint",1,"F,F;F,F",2,"A",0,20,0,3.00581622708035,0
"joint",1,"F,F;F,F",2,"B",0,20,0,3.0180092024523,0
"joint",1,"F,F;F,F",3,"A",0,20,0,1.92389623942808,67.3665356719146
"joint",1,"F,F;F,F",3,"B",0,20,0,1.94886507741445,67.3665356719146
"joint",2,"F,F;F,L",1,"A",0,10,0,4.07163596092315,NA
"joint",2,"F,F;F,L",1,"B",0,10,0,4.08215889127727,NA
"joint",2,"F,F;F,L",2,"A",0,20,0,2.99106200302124,0
"joint",2,"F,F;F,L",2,"B",1,20,100,6.07271637637965,0
"joint",2,"F,F;F,L",3,"A",0,20,NA,NA,95.3750431900318
"joint",2,"F,F;F,L",3,"B",0,20,NA,NA,95.3750431900318
"joint",3,"F,L;F,L",1,"A",0,10,0,4.05796806274484,NA
"joint",3,"F,L;F,L",1,"B",1,10,70,8.58696907536027,NA
"joint",3,"F,L;F,L",2,"A",0,20,0,3.00278762481487,0
"joint",3,"F,L;F,L",2,"B",1,20,70,8.56909428505813,100
"joint",3,"F,L;F,L",3,"A",1,20,36,2.99691739991027,96.9439284522932
"joint",3,"F,L;F,L",3,"B",1,20,59.5,8.56491206740548,96.9439284522932
"joint",4,"F,F;L,L",1,"A",0,10,0,4.07163596092315,NA
"joint",4,"F,F;L,L",1,"B",0,10,0,4.08215889127727,NA
"joint",4,"F,F;L,L",2,"A",1,20,100,6.07659416005546,0
"joint",4,"F,F;L,L",2,"B",1,20,100,6.05899700901398,0
"joint",4,"F,F;L,L",3,"A",1,20,50,6.07401537733223,100
"joint",4,"F,F;L,L",3,"B",1,20,50,6.0677879302833,100
"joint",5,"F,L;L,L",1,"A",0,10,0,4.05796806274484,NA
"joint",5,"F,L;L,L",1,"B",1,10,70,8.58696907536027,NA
"joint",5,"F,L;L,L",2,"A",1,20,100,6.076159222554,0
"joint",5,"F,L;L,L",2,"B",1,20,70,8.5642256673506,100
"joint",5,"F,L;L,L",3,"A",1,20,40,6.06524667156172,98.9002653293222
"joint",5,"F,L;L,L",3,"B",1,20,40,8.58147037856237,98.9002653293222
"joint",6,"L,L;L,L",1,"A",1,10,70,8.5791182720687,NA
"joint",6,"L,L;L,L",1,"B",1,10,70,8.56083548951697,NA
"joint",6,"L,L;L,L",2,"A",1,20,70,8.57007370336117,100
"joint",6,"L,L;L,L",2,"B",1,20,70,8.57365317938018,100
"joint",6,"L,L;L,L",3,"A",1,20,35,8.56569681904436,100
"joint",6,"L,L;L,L",3,"B",1,20,35,8.57552734662683,100
