"weight","outcome","total","contestant","incentive","Freq","model"
6,TRUE,19,"A",0,0,"joint"
6,TRUE,19,"B",16,1,"joint"
6,TRUE,19,"C",3,1,"joint"
7,TRUE,23,"A",0,0,"joint"
7,TRUE,23,"B",20,1,"joint"
7,TRUE,23,"C",3,1,"joint"
10,TRUE,39,"A",36,1,"joint"
10,TRUE,39,"B",0,0,"joint"
10,TRUE,39,"C",3,1,"joint"
6,TRUE,31,"A",31,1,"solitary"
6,TRUE,31,"B",0,0.5,"solitary"
6,TRUE,31,"C",0,0.5,"solitary"
7,TRUE,35,"A",35,1,"solitary"
7,TRUE,35,"B",0,0.5,"solitary"
7,TRUE,35,"C",0,0.5,"solitary"
10,FALSE,0,"A",0,0.666666666666667,"solitary"
10,FALSE,0,"B",0,0.666666666666667,"solitary"
10,FALSE,0,"C",0,0.666666666666667,"solitary"
6,FALSE,0,"A",0,0.666666666666667,"compensatory"
6,FALSE,0,"B",0,0.666666666666667,"compensatory"
6,FALSE,0,"C",0,0.666666666666667,"compensatory"
7,TRUE,19,"A",0,0,"compensatory"
7,TRUE,19,"B",18,1,"compensatory"
7,TRUE,19,"C",1,1,"compensatory"
10,FALSE,0,"A",0,0.666666666666667,"compensatory"
10,FALSE,0,"B",0,0.666666666666667,"compensatory"
10,FALSE,0,"C",0,0.666666666666667,"compensatory"
6,TRUE,0,"A",0,0.666666666666667,"maximum"
6,TRUE,0,"B",0,0.666666666666667,"maximum"
6,TRUE,0,"C",0,0.666666666666667,"maximum"
7,TRUE,0,"A",0,0.666666666666667,"maximum"
7,TRUE,0,"B",0,0.666666666666667,"maximum"
7,TRUE,0,"C",0,0.666666666666667,"maximum"
10,TRUE,0,"A",0,1,"maximum"
10,TRUE,0,"B",0,0.5,"maximum"
10,TRUE,0,"C",0,0.5,"maximum"
