"model","scenario","agent","round","reward","outcome","effort","strength","prob"
"joint","F,F;F,F","A",1,10,0,0,4.07272323573938,NA
"joint","F,F;F,F","A",2,20,0,0,2.99258362699977,0
"joint","F,F;F,F","A",3,20,0,0,1.94909694927282,67.343690329295
"joint","F,F;F,F","B",1,10,0,0,4.0752261212776,NA
"joint","F,F;F,F","B",2,20,0,0,2.98395640494154,0
"joint","F,F;F,F","B",3,20,0,0,1.93396848554418,67.343690329295
"joint","F,F;F,L","A",1,10,0,0,4.07272323573938,NA
"joint","F,F;F,L","A",2,20,0,0,2.98846432779566,0
"joint","F,F;F,L","A",3,20,0,NA,NA,94.850733868229
"joint","F,F;F,L","B",1,10,0,0,4.0752261212776,NA
"joint","F,F;F,L","B",3,20,0,NA,NA,94.850733868229
"joint","F,F;F,L","B",2,20,1,100,6.05930858698022,0
"joint","F,L;F,L","A",1,10,0,0,4.09122734556694,NA
"joint","F,L;F,L","A",2,20,0,0,2.99790533311093,0
"joint","F,L;F,L","A",3,20,1,37.5,3.00412018251909,96.7520061172359
"joint","F,L;F,L","B",1,10,1,70,8.57062514721298,NA
"joint","F,L;F,L","B",2,20,1,70,8.56593464156568,100
"joint","F,L;F,L","B",3,20,1,59,8.56891376202404,96.7520061172359
"joint","F,F;L,L","A",1,10,0,0,4.07272323573938,NA
"joint","F,F;L,L","A",2,20,1,100,6.07607642917316,0
"joint","F,F;L,L","A",3,20,1,50,6.07777943184512,100
"joint","F,F;L,L","B",1,10,0,0,4.0752261212776,NA
"joint","F,F;L,L","B",2,20,1,100,6.0766142207113,0
"joint","F,F;L,L","B",3,20,1,50,6.06448813064019,100
"joint","F,L;L,L","A",1,10,0,0,4.09122734556694,NA
"joint","F,L;L,L","A",2,20,1,100,6.06377309119627,0
"joint","F,L;L,L","A",3,20,1,40,6.08086919388668,98.9054707994273
"joint","F,L;L,L","B",1,10,1,70,8.57062514721298,NA
"joint","F,L;L,L","B",2,20,1,70,8.57859718197897,100
"joint","F,L;L,L","B",3,20,1,40,8.56767084147137,98.9054707994273
"joint","L,L;L,L","A",1,10,1,70,8.55690841131791,NA
"joint","L,L;L,L","A",2,20,1,70,8.57164910151601,100
"joint","L,L;L,L","A",3,20,1,35,8.57746756610794,100
"joint","L,L;L,L","B",1,10,1,70,8.57998111954411,NA
"joint","L,L;L,L","B",2,20,1,70,8.56476845052936,100
"joint","L,L;L,L","B",3,20,1,35,8.56716252542632,100
"solitary","F,F;F,F","A",1,10,0,0,4.07306703320535,NA
"solitary","F,F;F,F","A",2,20,0,0,3.00573412798651,0
"solitary","F,F;F,F","A",3,20,0,0,3.01029113406855,0
"solitary","F,F;F,F","B",1,10,0,0,4.0606393624681,NA
"solitary","F,F;F,F","B",2,20,0,0,2.98704493751646,0
"solitary","F,F;F,F","B",3,20,0,0,3.00819381285708,0
"solitary","F,F;F,L","A",1,10,0,0,4.07306703320535,NA
"solitary","F,F;F,L","A",2,20,0,0,2.9953017197374,0
"solitary","F,F;F,L","A",3,20,0,NA,NA,100
"solitary","F,F;F,L","B",1,10,0,0,4.0606393624681,NA
"solitary","F,F;F,L","B",3,20,0,NA,NA,100
"solitary","F,F;F,L","B",2,20,1,100,6.0805418768839,0
"solitary","F,L;F,L","A",1,10,0,0,4.08395213510471,NA
"solitary","F,L;F,L","A",2,20,0,0,2.98990439669554,0
"solitary","F,L;F,L","A",3,20,1,0,2.9995651869593,100
"solitary","F,L;F,L","B",1,10,1,70,8.58059464468567,NA
"solitary","F,L;F,L","B",2,20,1,70,8.58040127319096,100
"solitary","F,L;F,L","B",3,20,1,70,8.56482353854684,100
"solitary","F,F;L,L","A",1,10,0,0,4.07306703320535,NA
"solitary","F,F;L,L","A",2,20,1,100,6.08190286274805,0
"solitary","F,F;L,L","A",3,20,1,100,6.06937012668203,100
"solitary","F,F;L,L","B",1,10,0,0,4.0606393624681,NA
