"model","weight","contestant","Freq","incentive","total","outcome"
"joint",6,"A",0,0,20,TRUE
"joint",6,"B",1,15.5,20,TRUE
"joint",6,"C",1,4.5,20,TRUE
"joint",7,"A",0,0,23,TRUE
"joint",7,"B",1,18.5,23,TRUE
"joint",7,"C",1,4.5,23,TRUE
"joint",10,"A",1,35,39,TRUE
"joint",10,"B",0,0,39,TRUE
"joint",10,"C",1,4,39,TRUE
"solitary",6,"A",1,35,35,TRUE
"solitary",6,"B",0.5,0,35,TRUE
"solitary",6,"C",0.5,0,35,TRUE
"solitary",7,"A",1,39,39,TRUE
"solitary",7,"B",0.5,0,39,TRUE
"solitary",7,"C",0.5,0,39,TRUE
"solitary",10,"A",0.666666666666667,0,0,FALSE
"solitary",10,"B",0.666666666666667,0,0,FALSE
"solitary",10,"C",0.666666666666667,0,0,FALSE
"compensatory",6,"A",0,0,11,TRUE
"compensatory",6,"B",1,11,11,TRUE
"compensatory",6,"C",1,0,11,TRUE
"compensatory",7,"A",0,0,14,TRUE
"compensatory",7,"B",1,14,14,TRUE
"compensatory",7,"C",1,0,14,TRUE
"compensatory",10,"A",1,31,31,TRUE
"compensatory",10,"B",0,0,31,TRUE
"compensatory",10,"C",1,0,31,TRUE
"maximum",6,"A",0.666666666666667,0,0,TRUE
"maximum",6,"B",0.666666666666667,0,0,TRUE
"maximum",6,"C",0.666666666666667,0,0,TRUE
"maximum",7,"A",0.666666666666667,0,0,TRUE
"maximum",7,"B",0.666666666666667,0,0,TRUE
"maximum",7,"C",0.666666666666667,0,0,TRUE
"maximum",10,"A",1,0,0,TRUE
"maximum",10,"B",0.5,0,0,TRUE
"maximum",10,"C",0.5,0,0,TRUE
