"model","scenario","agent","round","reward","outcome","effort","strength","prob"
"joint_w_gini","F,F;F,F","A",1,10,0,0,4.08234916735815,NA
"joint_w_gini","F,F;F,F","A",2,20,0,0,2.98352696813893,0
"joint_w_gini","F,F;F,F","A",3,20,0,0,1.93224090467558,66.9572879472761
"joint_w_gini","F,F;F,F","B",1,10,0,0,4.05957907689761,NA
"joint_w_gini","F,F;F,F","B",2,20,0,0,3.00467378520596,0
"joint_w_gini","F,F;F,F","B",3,20,0,0,1.93819019970259,66.9572879472761
"joint_w_gini","F,F;F,L","A",1,10,0,0,4.08234916735815,NA
"joint_w_gini","F,F;F,L","A",2,20,0,0,3.01280041670053,0
"joint_w_gini","F,F;F,L","A",3,20,0,NA,NA,94.017275590851
"joint_w_gini","F,F;F,L","B",1,10,0,0,4.05957907689761,NA
"joint_w_gini","F,F;F,L","B",3,20,0,NA,NA,94.017275590851
"joint_w_gini","F,F;F,L","B",2,20,1,100,6.07781970916783,0
"joint_w_gini","F,L;F,L","A",1,10,0,0,4.07319557705709,NA
"joint_w_gini","F,L;F,L","A",2,20,0,0,2.99836890516435,0
"joint_w_gini","F,L;F,L","A",3,20,1,37.5,2.9870463560659,95.3223606317173
"joint_w_gini","F,L;F,L","B",1,10,1,70,8.57031463974923,NA
"joint_w_gini","F,L;F,L","B",2,20,1,70,8.57798771509567,100
"joint_w_gini","F,L;F,L","B",3,20,1,59,8.56559637727465,95.3223606317173
"joint_w_gini","F,F;L,L","A",1,10,0,0,4.08234916735815,NA
"joint_w_gini","F,F;L,L","A",2,20,1,100,6.07464023051233,0
"joint_w_gini","F,F;L,L","A",3,20,1,50,6.06847412015907,100
"joint_w_gini","F,F;L,L","B",1,10,0,0,4.05957907689761,NA
"joint_w_gini","F,F;L,L","B",2,20,1,100,6.06918810699165,0
"joint_w_gini","F,F;L,L","B",3,20,1,50,6.07508572927223,100
"joint_w_gini","F,L;L,L","A",1,10,0,0,4.07319557705709,NA
"joint_w_gini","F,L;L,L","A",2,20,1,100,6.06715189485041,0
"joint_w_gini","F,L;L,L","A",3,20,1,40,6.0587824986146,98.9230492053399
"joint_w_gini","F,L;L,L","B",1,10,1,70,8.57031463974923,NA
"joint_w_gini","F,L;L,L","B",2,20,1,70,8.57836815860215,100
"joint_w_gini","F,L;L,L","B",3,20,1,40,8.56408162746266,98.9230492053399
"joint_w_gini","L,L;L,L","A",1,10,1,70,8.56853806634007,NA
"joint_w_gini","L,L;L,L","A",2,20,1,70,8.56934036712788,100
"joint_w_gini","L,L;L,L","A",3,20,1,35,8.56254153223886,100
"joint_w_gini","L,L;L,L","B",1,10,1,70,8.56379358805559,NA
"joint_w_gini","L,L;L,L","B",2,20,1,70,8.57284647594149,100
