"model","weight","contestant","Freq","incentive","total","outcome"
"joint_w_gini",6,"A",0,0,20,TRUE
"joint_w_gini",6,"B",1,15.5,20,TRUE
"joint_w_gini",6,"C",1,4.5,20,TRUE
"joint_w_gini",7,"A",0,0,23,TRUE
"joint_w_gini",7,"B",1,18.5,23,TRUE
"joint_w_gini",7,"C",1,4.5,23,TRUE
"joint_w_gini",10,"A",1,35,39,TRUE
"joint_w_gini",10,"B",0,0,39,TRUE
"joint_w_gini",10,"C",1,4,39,TRUE
"joint_wo_gini",6,"A",0,0,20,TRUE
"joint_wo_gini",6,"B",1,17.5,20,TRUE
"joint_wo_gini",6,"C",1,2.5,20,TRUE
"joint_wo_gini",7,"A",0,0,24,TRUE
"joint_wo_gini",7,"B",1,21,24,TRUE
"joint_wo_gini",7,"C",1,3,24,TRUE
"joint_wo_gini",10,"A",1,37,39,TRUE
"joint_wo_gini",10,"B",0,0,39,TRUE
"joint_wo_gini",10,"C",1,2,39,TRUE
"safe_joint_w_gini",6,"A",0,0,21,TRUE
"safe_joint_w_gini",6,"B",1,17,21,TRUE
"safe_joint_w_gini",6,"C",1,4,21,TRUE
"safe_joint_w_gini",7,"A",0,0,23,TRUE
"safe_joint_w_gini",7,"B",1,18.5,23,TRUE
"safe_joint_w_gini",7,"C",1,4.5,23,TRUE
"safe_joint_w_gini",10,"A",1,36,40,TRUE
"safe_joint_w_gini",10,"B",0,0,40,TRUE
"safe_joint_w_gini",10,"C",1,4,40,TRUE
