"exp","subject","scenario","round","agent","reward","outcome","effort","strength","prob"
"exp1",1,"F,F;F,L",1,1,10,0,NA,2,NA
"exp1",1,"F,F;F,L",1,2,10,0,NA,2,NA
"exp1",1,"F,F;F,L",2,1,20,0,NA,1,25
"exp1",1,"F,F;F,L",2,2,20,1,65,9,25
"exp1",1,"F,F;F,L",3,1,20,0,NA,1,60
"exp1",1,"F,F;F,L",3,2,20,0,NA,5,60
"exp1",1,"F,F;L,L",1,1,10,0,NA,2,NA
"exp1",1,"F,F;L,L",1,2,10,0,NA,3,NA
"exp1",1,"F,F;L,L",2,1,20,1,100,10,20
"exp1",1,"F,F;L,L",2,2,20,1,100,10,20
"exp1",1,"F,F;L,L",3,1,20,1,100,10,75
"exp1",1,"F,F;L,L",3,2,20,1,100,10,75
"exp1",1,"F,L;F,L",1,1,10,0,NA,2,NA
"exp1",1,"F,L;F,L",1,2,10,1,75,10,NA
"exp1",1,"F,L;F,L",2,1,20,0,NA,2,50
"exp1",1,"F,L;F,L",2,2,20,1,100,10,100
"exp1",1,"F,L;F,L",3,1,20,1,60,6,70
"exp1",1,"F,L;F,L",3,2,20,1,100,10,70
"exp1",1,"F,L;L,L",1,1,10,0,NA,1,NA
"exp1",1,"F,L;L,L",1,2,10,1,75,10,NA
"exp1",1,"F,L;L,L",2,1,20,1,100,8,50
"exp1",1,"F,L;L,L",2,2,20,1,75,10,100
"exp1",1,"F,L;L,L",3,1,20,1,100,8,90
"exp1",1,"F,L;L,L",3,2,20,1,75,10,90
"exp1",1,"L,L;L,L",1,1,10,1,100,10,NA
"exp1",1,"L,L;L,L",1,2,10,1,100,10,NA
"exp1",1,"L,L;L,L",2,1,20,1,100,10,100
"exp1",1,"L,L;L,L",2,2,20,1,100,10,100
"exp1",1,"L,L;L,L",3,1,20,1,100,10,95
"exp1",1,"L,L;L,L",3,2,20,1,100,10,95
"exp1",1,"F,F;F,F",1,1,10,0,NA,3,NA
"exp1",1,"F,F;F,F",1,2,10,0,NA,3,NA
"exp1",1,"F,F;F,F",2,1,20,0,NA,1,30
"exp1",1,"F,F;F,F",2,2,20,0,NA,1,30
"exp1",1,"F,F;F,F",3,1,20,0,NA,1,50
"exp1",1,"F,F;F,F",3,2,20,0,NA,1,50
"exp1",2,"F,L;F,L",1,1,10,0,NA,5,NA
"exp1",2,"F,L;F,L",1,2,10,1,70,7,NA
"exp1",2,"F,L;F,L",2,1,20,0,NA,3,50
"exp1",2,"F,L;F,L",2,2,20,1,70,7,80
"exp1",2,"F,L;F,L",3,1,20,1,30,3,80
"exp1",2,"F,L;F,L",3,2,20,1,70,7,80
"exp1",2,"F,F;F,F",1,1,10,0,NA,4,NA
"exp1",2,"F,F;F,F",1,2,10,0,NA,4,NA
"exp1",2,"F,F;F,F",2,1,20,0,NA,4,40
"exp1",2,"F,F;F,F",2,2,20,0,NA,4,40
"exp1",2,"F,F;F,F",3,1,20,0,NA,3,50
"exp1",2,"F,F;F,F",3,2,20,0,NA,3,50
"exp1",2,"F,L;L,L",1,1,10,0,NA,3,NA
"exp1",2,"F,L;L,L",1,2,10,1,70,6,NA
"exp1",2,"F,L;L,L",2,1,20,1,100,5,30
"exp1",2,"F,L;L,L",2,2,20,1,70,7,80
"exp1",2,"F,L;L,L",3,1,20,1,40,5,90
"exp1",2,"F,L;L,L",3,2,20,1,60,7,90
"exp1",2,"L,L;L,L",1,1,10,1,85,6,NA
"exp1",2,"L,L;L,L",1,2,10,1,85,6,NA
"exp1",2,"L,L;L,L",2,1,20,1,85,6,80
"exp1",2,"L,L;L,L",2,2,20,1,85,6,80
"exp1",2,"L,L;L,L",3,1,20,1,50,6,95
"exp1",2,"L,L;L,L",3,2,20,1,50,6,95
"exp1",2,"F,F;L,L",1,1,10,0,NA,4,NA
"exp1",2,"F,F;L,L",1,2,10,0,NA,4,NA
"exp1",2,"F,F;L,L",2,1,20,1,100,5,40
"exp1",2,"F,F;L,L",2,2,20,1,100,5,40
"exp1",2,"F,F;L,L",3,1,20,1,50,5,75
"exp1",2,"F,F;L,L",3,2,20,1,50,5,75
"exp1",2,"F,F;F,L",1,1,10,0,NA,4,NA
"exp1",2,"F,F;F,L",1,2,10,0,NA,4,NA
"exp1",2,"F,F;F,L",2,1,20,0,NA,4,50
"exp1",2,"F,F;F,L",2,2,20,1,100,5,50
"exp1",2,"F,F;F,L",3,1,20,0,NA,3,60
"exp1",2,"F,F;F,L",3,2,20,0,NA,5,60
"exp1",3,"F,F;F,F",1,1,10,0,NA,3,NA
"exp1",3,"F,F;F,F",1,2,10,0,NA,3,NA
"exp1",3,"F,F;F,F",2,1,20,0,NA,1,40
"exp1",3,"F,F;F,F",2,2,20,0,NA,1,40
"exp1",3,"F,F;F,F",3,1,20,0,NA,1,0
"exp1",3,"F,F;F,F",3,2,20,0,NA,1,0
"exp1",3,"F,F;F,L",1,1,10,0,NA,3,NA
"exp1",3,"F,F;F,L",1,2,10,0,NA,3,NA
"exp1",3,"F,F;F,L",2,1,20,0,NA,1,50
"exp1",3,"F,F;F,L",2,2,20,1,100,5,50
"exp1",3,"F,F;F,L",3,1,20,0,NA,1,40
"exp1",3,"F,F;F,L",3,2,20,0,NA,5,40
"exp1",3,"F,L;F,L",1,1,10,0,NA,3,NA
"exp1",3,"F,L;F,L",1,2,10,1,75,8,NA
"exp1",3,"F,L;F,L",2,1,20,0,NA,1,40
"exp1",3,"F,L;F,L",2,2,20,1,100,10,80
"exp1",3,"F,L;F,L",3,1,20,1,50,5,90
"exp1",3,"F,L;F,L",3,2,20,1,100,10,90
"exp1",3,"F,F;L,L",1,1,10,0,NA,3,NA
"exp1",3,"F,F;L,L",1,2,10,0,NA,3,NA
"exp1",3,"F,F;L,L",2,1,20,1,50,5,40
"exp1",3,"F,F;L,L",2,2,20,1,50,5,40
"exp1",3,"F,F;L,L",3,1,20,1,100,6,100
"exp1",3,"F,F;L,L",3,2,20,1,100,6,100
"exp1",3,"L,L;L,L",1,1,10,1,100,8,NA
"exp1",3,"L,L;L,L",1,2,10,1,100,8,NA
"exp1",3,"L,L;L,L",2,1,20,1,100,10,90
"exp1",3,"L,L;L,L",2,2,20,1,100,10,90
"exp1",3,"L,L;L,L",3,1,20,1,100,10,100
"exp1",3,"L,L;L,L",3,2,20,1,100,10,100
"exp1",3,"F,L;L,L",1,1,10,0,NA,3,NA
"exp1",3,"F,L;L,L",1,2,10,1,100,8,NA
"exp1",3,"F,L;L,L",2,1,20,1,50,5,30
"exp1",3,"F,L;L,L",2,2,20,1,100,10,80
"exp1",3,"F,L;L,L",3,1,20,1,50,5,100
"exp1",3,"F,L;L,L",3,2,20,1,100,10,100
"exp1",4,"L,L;L,L",1,1,10,1,40,6,NA
"exp1",4,"L,L;L,L",1,2,10,1,40,6,NA
"exp1",4,"L,L;L,L",2,1,20,1,70,6,60
"exp1",4,"L,L;L,L",2,2,20,1,70,6,60
"exp1",4,"L,L;L,L",3,1,20,1,35,6,100
"exp1",4,"L,L;L,L",3,2,20,1,35,6,100
"exp1",4,"F,F;F,F",1,1,10,0,NA,4,NA
"exp1",4,"F,F;F,F",1,2,10,0,NA,4,NA
"exp1",4,"F,F;F,F",2,1,20,0,NA,4,35
"exp1",4,"F,F;F,F",2,2,20,0,NA,4,35
"exp1",4,"F,F;F,F",3,1,20,0,NA,2,60
"exp1",4,"F,F;F,F",3,2,20,0,NA,2,60
"exp1",4,"F,F;F,L",1,1,10,0,NA,5,NA
"exp1",4,"F,F;F,L",1,2,10,0,NA,5,NA
"exp1",4,"F,F;F,L",2,1,20,0,NA,4,6
"exp1",4,"F,F;F,L",2,2,20,1,80,6,6
"exp1",4,"F,F;F,L",3,1,20,0,NA,1,100
"exp1",4,"F,F;F,L",3,2,20,0,NA,6,100
"exp1",4,"F,L;L,L",1,1,10,0,NA,4,NA
"exp1",4,"F,L;L,L",1,2,10,1,90,6,NA
"exp1",4,"F,L;L,L",2,1,20,1,95,6,60
"exp1",4,"F,L;L,L",2,2,20,1,90,6,100
"exp1",4,"F,L;L,L",3,1,20,1,45,6,100
"exp1",4,"F,L;L,L",3,2,20,1,55,7,100
"exp1",4,"F,F;L,L",1,1,10,0,NA,4,NA
"exp1",4,"F,F;L,L",1,2,10,0,NA,4,NA
"exp1",4,"F,F;L,L",2,1,20,1,80,7,70
"exp1",4,"F,F;L,L",2,2,20,1,80,7,70
"exp1",4,"F,F;L,L",3,1,20,1,30,7,100
"exp1",4,"F,F;L,L",3,2,20,1,30,7,100
"exp1",4,"F,L;F,L",1,1,10,0,NA,4,NA
"exp1",4,"F,L;F,L",1,2,10,1,80,7,NA
"exp1",4,"F,L;F,L",2,1,20,0,NA,3,60
"exp1",4,"F,L;F,L",2,2,20,1,80,7,100
"exp1",4,"F,L;F,L",3,1,20,1,60,4,75
"exp1",4,"F,L;F,L",3,2,20,1,40,7,75
