"exp","subject","contest","strong_strength","strong_incentive","weak_strength","weak_incentive","incentive"
"exp2",1,1,6.5,95,5,125,125
"exp2",1,1,6.5,95,5.5,115,110
"exp2",1,1,6.5,95,6.5,95,95
"exp2",1,2,6,105,5,125,125
"exp2",1,2,6,105,5.5,115,110
"exp2",1,2,6,105,6,105,105
"exp2",1,3,8,75,5,125,75
"exp2",1,3,8,75,6.5,95,75
"exp2",1,3,8,75,8,75,60
"exp2",1,4,9.5,65,5,125,65
"exp2",1,4,9.5,65,6.5,95,60
"exp2",1,4,9.5,65,9.5,65,50
"exp2",1,5,7.5,85,5,125,85
"exp2",1,5,7.5,85,6,105,85
"exp2",1,5,7.5,85,7.5,85,65
"exp2",2,1,7.5,85,5,125,100
"exp2",2,1,7.5,85,6,105,105
"exp2",2,1,7.5,85,7.5,85,85
"exp2",2,2,6.5,95,5,125,100
"exp2",2,2,6.5,95,5.5,115,100
"exp2",2,2,6.5,95,6.5,95,90
"exp2",2,3,9.5,65,5,125,95
"exp2",2,3,9.5,65,6.5,95,75
"exp2",2,3,9.5,65,9.5,65,60
"exp2",2,4,6,105,5,125,110
"exp2",2,4,6,105,5.5,115,95
"exp2",2,4,6,105,6,105,95
"exp2",2,5,8,75,5,125,85
"exp2",2,5,8,75,6.5,95,85
"exp2",2,5,8,75,8,75,70
"exp2",3,1,6.5,95,5,125,95
"exp2",3,1,6.5,95,5.5,115,95
"exp2",3,1,6.5,95,6.5,95,95
"exp2",3,2,6,105,5,125,105
"exp2",3,2,6,105,5.5,115,105
"exp2",3,2,6,105,6,105,105
"exp2",3,3,9.5,65,5,125,65
"exp2",3,3,9.5,65,6.5,95,65
"exp2",3,3,9.5,65,9.5,65,65
"exp2",3,4,8,75,5,125,75
"exp2",3,4,8,75,6.5,95,75
"exp2",3,4,8,75,8,75,75
"exp2",3,5,7.5,85,5,125,85
"exp2",3,5,7.5,85,6,105,85
"exp2",3,5,7.5,85,7.5,85,85
"exp2",4,1,8,75,5,125,110
"exp2",4,1,8,75,6.5,95,85
"exp2",4,1,8,75,8,75,100
"exp2",4,2,6,105,5,125,110
"exp2",4,2,6,105,5.5,115,105
"exp2",4,2,6,105,6,105,105
"exp2",4,3,7.5,85,5,125,90
