"exp","subject","contest","weight","contestant","strength","min_incentive","select","incentive","total"
"exp3",1,1,10,"A",9,40,1,30,50
"exp3",1,1,10,"B",5,20,1,20,50
"exp3",1,1,10,"C",2,2,0,0,50
"exp3",1,2,7,"A",9,40,1,25,40
"exp3",1,2,7,"B",5,20,1,15,40
"exp3",1,2,7,"C",2,2,0,0,40
"exp3",1,3,6,"A",9,40,0,0,22
"exp3",1,3,6,"B",5,20,1,20,22
"exp3",1,3,6,"C",2,2,1,2,22
"exp3",2,1,10,"A",9,40,1,30,41
"exp3",2,1,10,"B",5,20,1,11,41
"exp3",2,1,10,"C",2,2,0,0,41
"exp3",2,2,7,"A",9,40,1,30,45
"exp3",2,2,7,"B",5,20,1,15,45
"exp3",2,2,7,"C",2,2,0,0,45
"exp3",2,3,6,"A",9,40,1,28,30
"exp3",2,3,6,"B",5,20,0,0,30
"exp3",2,3,6,"C",2,2,1,2,30
"exp3",3,1,10,"A",9,40,1,20,40
"exp3",3,1,10,"B",5,20,1,20,40
"exp3",3,1,10,"C",2,2,0,0,40
"exp3",3,2,7,"A",9,40,1,30,50
"exp3",3,2,7,"B",5,20,1,20,50
"exp3",3,2,7,"C",2,2,0,0,50
"exp3",3,3,6,"A",9,40,1,20,40
"exp3",3,3,6,"B",5,20,1,20,40
"exp3",3,3,6,"C",2,2,0,0,40
"exp3",4,1,10,"A",9,40,1,20,21
"exp3",4,1,10,"B",5,20,0,0,21
"exp3",4,1,10,"C",2,2,1,1,21
"exp3",4,2,7,"A",9,40,0,0,17
"exp3",4,2,7,"B",5,20,1,15,17
"exp3",4,2,7,"C",2,2,1,2,17
"exp3",4,3,6,"A",9,40,0,0,22
"exp3",4,3,6,"B",5,20,1,20,22
"exp3",4,3,6,"C",2,2,1,2,22
"exp3",5,1,10,"A",9,40,1,40,45
"exp3",5,1,10,"B",5,20,0,0,45
"exp3",5,1,10,"C",2,2,1,5,45
"exp3",5,2,7,"A",9,40,0,0,25
"exp3",5,2,7,"B",5,20,1,20,25
"exp3",5,2,7,"C",2,2,1,5,25
"exp3",5,3,6,"A",9,40,0,0,25
"exp3",5,3,6,"B",5,20,1,20,25
"exp3",5,3,6,"C",2,2,1,5,25
"exp3",6,1,10,"A",9,40,1,40,45
"exp3",6,1,10,"B",5,20,0,0,45
"exp3",6,1,10,"C",2,2,1,5,45
"exp3",6,2,7,"A",9,40,1,40,42
"exp3",6,2,7,"B",5,20,0,0,42
"exp3",6,2,7,"C",2,2,1,2,42
"exp3",6,3,6,"A",9,40,0,0,40
"exp3",6,3,6,"B",5,20,1,30,40
"exp3",6,3,6,"C",2,2,1,10,40
"exp3",7,1,10,"A",9,40,1,30,45
"exp3",7,1,10,"B",5,20,1,15,45
"exp3",7,1,10,"C",2,2,0,0,45
"exp3",7,2,7,"A",9,40,1,25,45
"exp3",7,2,7,"B",5,20,1,20,45
"exp3",7,2,7,"C",2,2,0,0,45
"exp3",7,3,6,"A",9,40,1,20,40
"exp3",7,3,6,"B",5,20,1,20,40
"exp3",7,3,6,"C",2,2,0,0,40
"exp3",8,1,10,"A",9,40,1,20,22
"exp3",8,1,10,"B",5,20,0,0,22
"exp3",8,1,10,"C",2,2,1,2,22
"exp3",8,2,7,"A",9,40,1,40,40
"exp3",8,2,7,"B",5,20,0,0,40
"exp3",8,2,7,"C",2,2,1,0,40
"exp3",8,3,6,"A",9,40,0,0,22
"exp3",8,3,6,"B",5,20,1,20,22
"exp3",8,3,6,"C",2,2,1,2,22
"exp3",9,1,10,"A",9,40,0,0,45
"exp3",9,1,10,"B",5,20,1,40,45
"exp3",9,1,10,"C",2,2,1,5,45
"exp3",9,2,7,"A",9,40,1,35,45
"exp3",9,2,7,"B",5,20,0,0,45
"exp3",9,2,7,"C",2,2,1,10,45
"exp3",9,3,6,"A",9,40,0,0,33
"exp3",9,3,6,"B",5,20,1,25,33
"exp3",9,3,6,"C",2,2,1,8,33
"exp3",10,1,10,"A",9,40,1,30,45
"exp3",10,1,10,"B",5,20,1,15,45
"exp3",10,1,10,"C",2,2,0,0,45
"exp3",10,2,7,"A",9,40,1,25,40
"exp3",10,2,7,"B",5,20,1,15,40
"exp3",10,2,7,"C",2,2,0,0,40
"exp3",10,3,6,"A",9,40,1,30,45
"exp3",10,3,6,"B",5,20,0,0,45
"exp3",10,3,6,"C",2,2,1,15,45
"exp3",11,1,10,"A",9,40,1,40,42
"exp3",11,1,10,"B",5,20,0,0,42
"exp3",11,1,10,"C",2,2,1,2,42
"exp3",11,2,7,"A",9,40,0,0,22
"exp3",11,2,7,"B",5,20,1,20,22
"exp3",11,2,7,"C",2,2,1,2,22
"exp3",11,3,6,"A",9,40,0,0,22
"exp3",11,3,6,"B",5,20,1,20,22
"exp3",11,3,6,"C",2,2,1,2,22
"exp3",12,1,10,"A",9,40,1,40,42
"exp3",12,1,10,"B",5,20,0,0,42
"exp3",12,1,10,"C",2,2,1,2,42
"exp3",12,2,7,"A",9,40,0,0,22
"exp3",12,2,7,"B",5,20,1,20,22
"exp3",12,2,7,"C",2,2,1,2,22
"exp3",12,3,6,"A",9,40,0,0,22
"exp3",12,3,6,"B",5,20,1,20,22
"exp3",12,3,6,"C",2,2,1,2,22
"exp3",13,1,10,"A",9,40,1,18,33
"exp3",13,1,10,"B",5,20,1,15,33
"exp3",13,1,10,"C",2,2,0,0,33
"exp3",13,2,7,"A",9,40,1,30,48
"exp3",13,2,7,"B",5,20,1,18,48
"exp3",13,2,7,"C",2,2,0,0,48
"exp3",13,3,6,"A",9,40,0,0,22
"exp3",13,3,6,"B",5,20,1,20,22
"exp3",13,3,6,"C",2,2,1,2,22
"exp3",14,1,10,"A",9,40,1,25,50
"exp3",14,1,10,"B",5,20,1,25,50
"exp3",14,1,10,"C",2,2,0,0,50
"exp3",14,2,7,"A",9,40,0,0,25
"exp3",14,2,7,"B",5,20,1,15,25
"exp3",14,2,7,"C",2,2,1,10,25
"exp3",14,3,6,"A",9,40,1,25,50
"exp3",14,3,6,"B",5,20,1,25,50
"exp3",14,3,6,"C",2,2,0,0,50
"exp3",15,1,10,"A",9,40,1,42,47
"exp3",15,1,10,"B",5,20,0,0,47
"exp3",15,1,10,"C",2,2,1,5,47
"exp3",15,2,7,"A",9,40,0,0,22
"exp3",15,2,7,"B",5,20,1,20,22
"exp3",15,2,7,"C",2,2,1,2,22
"exp3",15,3,6,"A",9,40,0,0,20
"exp3",15,3,6,"B",5,20,1,18,20
"exp3",15,3,6,"C",2,2,1,2,20
"exp3",16,1,10,"A",9,40,1,9,11
"exp3",16,1,10,"B",5,20,0,0,11
"exp3",16,1,10,"C",2,2,1,2,11
"exp3",16,2,7,"A",9,40,0,0,7
"exp3",16,2,7,"B",5,20,1,5,7
"exp3",16,2,7,"C",2,2,1,2,7
"exp3",16,3,6,"A",9,40,0,0,7
"exp3",16,3,6,"B",5,20,1,5,7
"exp3",16,3,6,"C",2,2,1,2,7
"exp3",17,1,10,"A",9,40,1,40,42
"exp3",17,1,10,"B",5,20,0,0,42
"exp3",17,1,10,"C",2,2,1,2,42
"exp3",17,2,7,"A",9,40,0,0,22
"exp3",17,2,7,"B",5,20,1,20,22
"exp3",17,2,7,"C",2,2,1,2,22
"exp3",17,3,6,"A",9,40,0,0,22
"exp3",17,3,6,"B",5,20,1,20,22
"exp3",17,3,6,"C",2,2,1,2,22
"exp3",18,1,10,"A",9,40,1,15,25
"exp3",18,1,10,"B",5,20,1,10,25
"exp3",18,1,10,"C",2,2,0,0,25
"exp3",18,2,7,"A",9,40,0,0,40
"exp3",18,2,7,"B",5,20,1,20,40
"exp3",18,2,7,"C",2,2,1,20,40
"exp3",18,3,6,"A",9,40,0,0,40
"exp3",18,3,6,"B",5,20,1,20,40
"exp3",18,3,6,"C",2,2,1,20,40
"exp3",19,1,10,"A",9,40,1,38,40
"exp3",19,1,10,"B",5,20,0,0,40
"exp3",19,1,10,"C",2,2,1,2,40
"exp3",19,2,7,"A",9,40,0,0,22
"exp3",19,2,7,"B",5,20,1,20,22
