"subject","contest","agent","scenario","exp","effort","strength","outcome","prob","round","reward"
1,1,1,"F,F;F,L","index1",NA,2,0,NA,1,10
1,1,2,"F,F;F,L","index1",NA,2,0,NA,1,10
1,1,1,"F,F;F,L","index1",NA,1,0,25,2,20
1,1,2,"F,F;F,L","index1",65,9,1,25,2,20
1,1,1,"F,F;F,L","index1",NA,1,0,60,3,20
1,1,2,"F,F;F,L","index1",NA,5,0,60,3,20
1,2,1,"F,F;L,L","index1",NA,2,0,NA,1,10
1,2,2,"F,F;L,L","index1",NA,3,0,NA,1,10
1,2,1,"F,F;L,L","index1",100,10,1,20,2,20
1,2,2,"F,F;L,L","index1",100,10,1,20,2,20
1,2,1,"F,F;L,L","index1",100,10,1,75,3,20
1,2,2,"F,F;L,L","index1",100,10,1,75,3,20
1,3,1,"F,L;F,L","index1",NA,2,0,NA,1,10
1,3,2,"F,L;F,L","index1",75,10,1,NA,1,10
1,3,1,"F,L;F,L","index1",NA,2,0,50,2,20
1,3,2,"F,L;F,L","index1",100,10,1,100,2,20
1,3,1,"F,L;F,L","index1",60,6,1,70,3,20
1,3,2,"F,L;F,L","index1",100,10,1,70,3,20
1,4,1,"F,L;L,L","index1",NA,1,0,NA,1,10
1,4,2,"F,L;L,L","index1",75,10,1,NA,1,10
1,4,1,"F,L;L,L","index1",100,8,1,50,2,20
1,4,2,"F,L;L,L","index1",75,10,1,100,2,20
1,4,1,"F,L;L,L","index1",100,8,1,90,3,20
1,4,2,"F,L;L,L","index1",75,10,1,90,3,20
1,5,1,"L,L;L,L","index1",100,10,1,NA,1,10
1,5,2,"L,L;L,L","index1",100,10,1,NA,1,10
1,5,1,"L,L;L,L","index1",100,10,1,100,2,20
1,5,2,"L,L;L,L","index1",100,10,1,100,2,20
1,5,1,"L,L;L,L","index1",100,10,1,95,3,20
1,5,2,"L,L;L,L","index1",100,10,1,95,3,20
1,6,1,"F,F;F,F","index1",NA,3,0,NA,1,10
1,6,2,"F,F;F,F","index1",NA,3,0,NA,1,10
1,6,1,"F,F;F,F","index1",NA,1,0,30,2,20
1,6,2,"F,F;F,F","index1",NA,1,0,30,2,20
1,6,1,"F,F;F,F","index1",NA,1,0,50,3,20
1,6,2,"F,F;F,F","index1",NA,1,0,50,3,20
2,1,1,"F,L;F,L","index1",NA,5,0,NA,1,10
2,1,2,"F,L;F,L","index1",70,7,1,NA,1,10
2,1,1,"F,L;F,L","index1",NA,3,0,50,2,20
2,1,2,"F,L;F,L","index1",70,7,1,80,2,20
2,1,1,"F,L;F,L","index1",30,3,1,80,3,20
2,1,2,"F,L;F,L","index1",70,7,1,80,3,20
2,2,1,"F,F;F,F","index1",NA,4,0,NA,1,10
2,2,2,"F,F;F,F","index1",NA,4,0,NA,1,10
2,2,1,"F,F;F,F","index1",NA,4,0,40,2,20
2,2,2,"F,F;F,F","index1",NA,4,0,40,2,20
2,2,1,"F,F;F,F","index1",NA,3,0,50,3,20
2,2,2,"F,F;F,F","index1",NA,3,0,50,3,20
2,3,1,"F,L;L,L","index1",NA,3,0,NA,1,10
2,3,2,"F,L;L,L","index1",70,6,1,NA,1,10
2,3,1,"F,L;L,L","index1",100,5,1,30,2,20
