contest,incentive,strong_incentive,weak_incentive,strong_strength,weak_strength,outcome,subject,exp
4,65,65,125,9.5,5,1,1,index2v4
4,60,65,95,9.5,6.5,1,1,index2v4
4,50,65,65,9.5,9.5,1,1,index2v4
3,75,75,125,8,5,1,1,index2v4
3,75,75,95,8,6.5,1,1,index2v4
3,60,75,75,8,8,1,1,index2v4
5,85,85,125,7.5,5,1,1,index2v4
5,85,85,105,7.5,6,1,1,index2v4
5,65,85,85,7.5,7.5,1,1,index2v4
1,125,95,125,6.5,5,1,1,index2v4
1,110,95,115,6.5,5.5,1,1,index2v4
1,95,95,95,6.5,6.5,1,1,index2v4
2,125,105,125,6,5,1,1,index2v4
2,110,105,115,6,5.5,1,1,index2v4
2,105,105,105,6,6,1,1,index2v4
3,95,65,125,9.5,5,1,2,index2v4
3,75,65,95,9.5,6.5,1,2,index2v4
3,60,65,65,9.5,9.5,1,2,index2v4
5,85,75,125,8,5,1,2,index2v4
5,85,75,95,8,6.5,1,2,index2v4
5,70,75,75,8,8,1,2,index2v4
1,100,85,125,7.5,5,1,2,index2v4
1,105,85,105,7.5,6,1,2,index2v4
1,85,85,85,7.5,7.5,1,2,index2v4
2,100,95,125,6.5,5,1,2,index2v4
2,100,95,115,6.5,5.5,1,2,index2v4
2,90,95,95,6.5,6.5,1,2,index2v4
4,110,105,125,6,5,1,2,index2v4
4,95,105,115,6,5.5,1,2,index2v4
4,95,105,105,6,6,1,2,index2v4
3,65,65,125,9.5,5,1,3,index2v4
3,65,65,95,9.5,6.5,1,3,index2v4
3,65,65,65,9.5,9.5,1,3,index2v4
4,75,75,125,8,5,1,3,index2v4
4,75,75,95,8,6.5,1,3,index2v4
4,75,75,75,8,8,1,3,index2v4
5,85,85,125,7.5,5,1,3,index2v4
5,85,85,105,7.5,6,1,3,index2v4
5,85,85,85,7.5,7.5,1,3,index2v4
1,95,95,125,6.5,5,1,3,index2v4
1,95,95,115,6.5,5.5,1,3,index2v4
1,95,95,95,6.5,6.5,1,3,index2v4
2,105,105,125,6,5,1,3,index2v4
2,105,105,115,6,5.5,1,3,index2v4
2,105,105,105,6,6,1,3,index2v4
4,70,65,125,9.5,5,1,4,index2v4
4,70,65,95,9.5,6.5,1,4,index2v4
4,65,65,65,9.5,9.5,1,4,index2v4
1,110,75,125,8,5,1,4,index2v4
1,85,75,95,8,6.5,1,4,index2v4
1,100,75,75,8,8,1,4,index2v4
3,90,85,125,7.5,5,1,4,index2v4
3,90,85,105,7.5,6,1,4,index2v4
3,85,85,85,7.5,7.5,1,4,index2v4
5,100,95,125,6.5,5,1,4,index2v4
5,100,95,115,6.5,5.5,1,4,index2v4
5,95,95,95,6.5,6.5,1,4,index2v4
2,110,105,125,6,5,1,4,index2v4
2,105,105,115,6,5.5,1,4,index2v4
2,105,105,105,6,6,1,4,index2v4
5,80,65,125,9.5,5,1,5,index2v4
5,75,65,95,9.5,6.5,1,5,index2v4
5,65,65,65,9.5,9.5,1,5,index2v4
2,105,75,125,8,5,1,5,index2v4
2,90,75,95,8,6.5,1,5,index2v4
2,75,75,75,8,8,1,5,index2v4
1,125,85,125,7.5,5,1,5,index2v4
1,105,85,105,7.5,6,1,5,index2v4
1,85,85,85,7.5,7.5,1,5,index2v4
3,110,95,125,6.5,5,1,5,index2v4
3,105,95,115,6.5,5.5,1,5,index2v4
3,95,95,95,6.5,6.5,1,5,index2v4
4,110,105,125,6,5,1,5,index2v4
4,105,105,115,6,5.5,1,5,index2v4
4,105,105,105,6,6,1,5,index2v4
3,125,65,125,9.5,5,1,6,index2v4
3,95,65,95,9.5,6.5,1,6,index2v4
3,65,65,65,9.5,9.5,1,6,index2v4
4,100,75,125,8,5,1,6,index2v4
4,80,75,95,8,6.5,1,6,index2v4
4,70,75,75,8,8,1,6,index2v4
2,125,85,125,7.5,5,1,6,index2v4
2,105,85,105,7.5,6,1,6,index2v4
2,85,85,85,7.5,7.5,1,6,index2v4
1,125,95,125,6.5,5,1,6,index2v4
1,115,95,115,6.5,5.5,1,6,index2v4
1,95,95,95,6.5,6.5,1,6,index2v4
5,100,105,125,6,5,1,6,index2v4
5,95,105,115,6,5.5,1,6,index2v4
5,90,105,105,6,6,1,6,index2v4
4,60,65,125,9.5,5,1,7,index2v4
4,50,65,95,9.5,6.5,1,7,index2v4
4,40,65,65,9.5,9.5,1,7,index2v4
1,50,75,125,8,5,1,7,index2v4
1,40,75,95,8,6.5,0,7,index2v4
1,30,75,75,8,8,0,7,index2v4
3,65,85,125,7.5,5,1,7,index2v4
3,60,85,105,7.5,6,1,7,index2v4
3,50,85,85,7.5,7.5,1,7,index2v4
2,50,95,125,6.5,5,0,7,index2v4
2,50,95,115,6.5,5.5,0,7,index2v4
2,45,95,95,6.5,6.5,0,7,index2v4
5,75,105,125,6,5,1,7,index2v4
5,70,105,115,6,5.5,1,7,index2v4
5,70,105,105,6,6,1,7,index2v4
1,1,65,125,9.5,5,0,8,index2v4
1,1,65,95,9.5,6.5,0,8,index2v4
1,1,65,65,9.5,9.5,0,8,index2v4
3,1,75,125,8,5,0,8,index2v4
