"exp","subject","contest","weight","contestant","select","incentive","total","min_incentive","strength"
"Exp3",1,1,10,"A",1,30,50,40,9
"Exp3",1,1,10,"B",1,20,50,20,5
"Exp3",1,1,10,"C",0,0,50,2,2
"Exp3",1,2,7,"A",1,25,40,40,9
"Exp3",1,2,7,"B",1,15,40,20,5
"Exp3",1,2,7,"C",0,0,40,2,2
"Exp3",1,3,6,"A",0,0,22,40,9
"Exp3",1,3,6,"B",1,20,22,20,5
"Exp3",1,3,6,"C",1,2,22,2,2
"Exp3",2,1,10,"A",1,30,41,40,9
"Exp3",2,1,10,"B",1,11,41,20,5
"Exp3",2,1,10,"C",0,0,41,2,2
"Exp3",2,2,7,"A",1,30,45,40,9
"Exp3",2,2,7,"B",1,15,45,20,5
"Exp3",2,2,7,"C",0,0,45,2,2
"Exp3",2,3,6,"A",1,28,30,40,9
"Exp3",2,3,6,"B",0,0,30,20,5
"Exp3",2,3,6,"C",1,2,30,2,2
"Exp3",3,1,10,"A",1,20,40,40,9
"Exp3",3,1,10,"B",1,20,40,20,5
"Exp3",3,1,10,"C",0,0,40,2,2
"Exp3",3,2,7,"A",1,30,50,40,9
"Exp3",3,2,7,"B",1,20,50,20,5
"Exp3",3,2,7,"C",0,0,50,2,2
"Exp3",3,3,6,"A",1,20,40,40,9
"Exp3",3,3,6,"B",1,20,40,20,5
"Exp3",3,3,6,"C",0,0,40,2,2
"Exp3",4,1,10,"A",1,20,21,40,9
"Exp3",4,1,10,"B",0,0,21,20,5
"Exp3",4,1,10,"C",1,1,21,2,2
"Exp3",4,2,7,"A",0,0,17,40,9
"Exp3",4,2,7,"B",1,15,17,20,5
"Exp3",4,2,7,"C",1,2,17,2,2
"Exp3",4,3,6,"A",0,0,22,40,9
"Exp3",4,3,6,"B",1,20,22,20,5
"Exp3",4,3,6,"C",1,2,22,2,2
"Exp3",5,1,10,"A",1,40,45,40,9
"Exp3",5,1,10,"B",0,0,45,20,5
"Exp3",5,1,10,"C",1,5,45,2,2
"Exp3",5,2,7,"A",0,0,25,40,9
"Exp3",5,2,7,"B",1,20,25,20,5
"Exp3",5,2,7,"C",1,5,25,2,2
"Exp3",5,3,6,"A",0,0,25,40,9
"Exp3",5,3,6,"B",1,20,25,20,5
"Exp3",5,3,6,"C",1,5,25,2,2
"Exp3",6,1,10,"A",1,40,45,40,9
"Exp3",6,1,10,"B",0,0,45,20,5
"Exp3",6,1,10,"C",1,5,45,2,2
"Exp3",6,2,7,"A",1,40,42,40,9
"Exp3",6,2,7,"B",0,0,42,20,5
"Exp3",6,2,7,"C",1,2,42,2,2
"Exp3",6,3,6,"A",0,0,40,40,9
"Exp3",6,3,6,"B",1,30,40,20,5
"Exp3",6,3,6,"C",1,10,40,2,2
"Exp3",7,1,10,"A",1,30,45,40,9
"Exp3",7,1,10,"B",1,15,45,20,5
"Exp3",7,1,10,"C",0,0,45,2,2
"Exp3",7,2,7,"A",1,25,45,40,9
"Exp3",7,2,7,"B",1,20,45,20,5
"Exp3",7,2,7,"C",0,0,45,2,2
"Exp3",7,3,6,"A",1,20,40,40,9
"Exp3",7,3,6,"B",1,20,40,20,5
"Exp3",7,3,6,"C",0,0,40,2,2
"Exp3",8,1,10,"A",1,20,22,40,9
"Exp3",8,1,10,"B",0,0,22,20,5
"Exp3",8,1,10,"C",1,2,22,2,2
"Exp3",8,2,7,"A",1,40,40,40,9
"Exp3",8,2,7,"B",0,0,40,20,5
"Exp3",8,2,7,"C",1,0,40,2,2
"Exp3",8,3,6,"A",0,0,22,40,9
"Exp3",8,3,6,"B",1,20,22,20,5
"Exp3",8,3,6,"C",1,2,22,2,2
"Exp3",9,1,10,"A",0,0,45,40,9
"Exp3",9,1,10,"B",1,40,45,20,5
"Exp3",9,1,10,"C",1,5,45,2,2
"Exp3",9,2,7,"A",1,35,45,40,9
"Exp3",9,2,7,"B",0,0,45,20,5
"Exp3",9,2,7,"C",1,10,45,2,2
"Exp3",9,3,6,"A",0,0,33,40,9
"Exp3",9,3,6,"B",1,25,33,20,5
"Exp3",9,3,6,"C",1,8,33,2,2
"Exp3",10,1,10,"A",1,30,45,40,9
"Exp3",10,1,10,"B",1,15,45,20,5
"Exp3",10,1,10,"C",0,0,45,2,2
"Exp3",10,2,7,"A",1,25,40,40,9
"Exp3",10,2,7,"B",1,15,40,20,5
"Exp3",10,2,7,"C",0,0,40,2,2
"Exp3",10,3,6,"A",1,30,45,40,9
"Exp3",10,3,6,"B",0,0,45,20,5
"Exp3",10,3,6,"C",1,15,45,2,2
"Exp3",11,1,10,"A",1,40,42,40,9
"Exp3",11,1,10,"B",0,0,42,20,5
"Exp3",11,1,10,"C",1,2,42,2,2
"Exp3",11,2,7,"A",0,0,22,40,9
"Exp3",11,2,7,"B",1,20,22,20,5
"Exp3",11,2,7,"C",1,2,22,2,2
"Exp3",11,3,6,"A",0,0,22,40,9
"Exp3",11,3,6,"B",1,20,22,20,5
"Exp3",11,3,6,"C",1,2,22,2,2
"Exp3",12,1,10,"A",1,40,42,40,9
"Exp3",12,1,10,"B",0,0,42,20,5
"Exp3",12,1,10,"C",1,2,42,2,2
"Exp3",12,2,7,"A",0,0,22,40,9
"Exp3",12,2,7,"B",1,20,22,20,5
"Exp3",12,2,7,"C",1,2,22,2,2
"Exp3",12,3,6,"A",0,0,22,40,9
"Exp3",12,3,6,"B",1,20,22,20,5
"Exp3",12,3,6,"C",1,2,22,2,2
"Exp3",13,1,10,"A",1,18,33,40,9
"Exp3",13,1,10,"B",1,15,33,20,5
"Exp3",13,1,10,"C",0,0,33,2,2
"Exp3",13,2,7,"A",1,30,48,40,9
"Exp3",13,2,7,"B",1,18,48,20,5
"Exp3",13,2,7,"C",0,0,48,2,2
"Exp3",13,3,6,"A",0,0,22,40,9
"Exp3",13,3,6,"B",1,20,22,20,5
"Exp3",13,3,6,"C",1,2,22,2,2
"Exp3",14,1,10,"A",1,25,50,40,9
"Exp3",14,1,10,"B",1,25,50,20,5
"Exp3",14,1,10,"C",0,0,50,2,2
"Exp3",14,2,7,"A",0,0,25,40,9
"Exp3",14,2,7,"B",1,15,25,20,5
"Exp3",14,2,7,"C",1,10,25,2,2
"Exp3",14,3,6,"A",1,25,50,40,9
"Exp3",14,3,6,"B",1,25,50,20,5
"Exp3",14,3,6,"C",0,0,50,2,2
"Exp3",15,1,10,"A",1,42,47,40,9
"Exp3",15,1,10,"B",0,0,47,20,5
"Exp3",15,1,10,"C",1,5,47,2,2
"Exp3",15,2,7,"A",0,0,22,40,9
"Exp3",15,2,7,"B",1,20,22,20,5
"Exp3",15,2,7,"C",1,2,22,2,2
"Exp3",15,3,6,"A",0,0,20,40,9
"Exp3",15,3,6,"B",1,18,20,20,5
"Exp3",15,3,6,"C",1,2,20,2,2
"Exp3",16,1,10,"A",1,9,11,40,9
"Exp3",16,1,10,"B",0,0,11,20,5
"Exp3",16,1,10,"C",1,2,11,2,2
"Exp3",16,2,7,"A",0,0,7,40,9
"Exp3",16,2,7,"B",1,5,7,20,5
"Exp3",16,2,7,"C",1,2,7,2,2
"Exp3",16,3,6,"A",0,0,7,40,9
"Exp3",16,3,6,"B",1,5,7,20,5
"Exp3",16,3,6,"C",1,2,7,2,2
"Exp3",17,1,10,"A",1,40,42,40,9
"Exp3",17,1,10,"B",0,0,42,20,5
"Exp3",17,1,10,"C",1,2,42,2,2
"Exp3",17,2,7,"A",0,0,22,40,9
"Exp3",17,2,7,"B",1,20,22,20,5
"Exp3",17,2,7,"C",1,2,22,2,2
"Exp3",17,3,6,"A",0,0,22,40,9
"Exp3",17,3,6,"B",1,20,22,20,5
"Exp3",17,3,6,"C",1,2,22,2,2
"Exp3",18,1,10,"A",1,15,25,40,9
"Exp3",18,1,10,"B",1,10,25,20,5
"Exp3",18,1,10,"C",0,0,25,2,2
"Exp3",18,2,7,"A",0,0,40,40,9
"Exp3",18,2,7,"B",1,20,40,20,5
"Exp3",18,2,7,"C",1,20,40,2,2
"Exp3",18,3,6,"A",0,0,40,40,9
"Exp3",18,3,6,"B",1,20,40,20,5
"Exp3",18,3,6,"C",1,20,40,2,2
"Exp3",19,1,10,"A",1,38,40,40,9
"Exp3",19,1,10,"B",0,0,40,20,5
"Exp3",19,1,10,"C",1,2,40,2,2
"Exp3",19,2,7,"A",0,0,22,40,9
"Exp3",19,2,7,"B",1,20,22,20,5
"Exp3",19,2,7,"C",1,2,22,2,2
"Exp3",19,3,6,"A",0,0,20,40,9
"Exp3",19,3,6,"B",1,18,20,20,5
"Exp3",19,3,6,"C",1,2,20,2,2
"Exp3",20,1,10,"A",1,23,43,40,9
"Exp3",20,1,10,"B",1,20,43,20,5
"Exp3",20,1,10,"C",0,0,43,2,2
"Exp3",20,2,7,"A",0,0,22,40,9
"Exp3",20,2,7,"B",1,20,22,20,5
"Exp3",20,2,7,"C",1,2,22,2,2
"Exp3",20,3,6,"A",0,0,21,40,9
"Exp3",20,3,6,"B",1,20,21,20,5
"Exp3",20,3,6,"C",1,1,21,2,2
"Exp3",21,1,10,"A",1,40,42,40,9
"Exp3",21,1,10,"B",0,0,42,20,5
"Exp3",21,1,10,"C",1,2,42,2,2
"Exp3",21,2,7,"A",0,0,22,40,9
"Exp3",21,2,7,"B",1,20,22,20,5
"Exp3",21,2,7,"C",1,2,22,2,2
"Exp3",21,3,6,"A",0,0,19,40,9
"Exp3",21,3,6,"B",1,18,19,20,5
"Exp3",21,3,6,"C",1,1,19,2,2
"Exp3",22,1,10,"A",1,40,41,40,9
"Exp3",22,1,10,"B",0,0,41,20,5
"Exp3",22,1,10,"C",1,1,41,2,2
"Exp3",22,2,7,"A",0,0,22,40,9
"Exp3",22,2,7,"B",1,20,22,20,5
"Exp3",22,2,7,"C",1,2,22,2,2
